season,seasontype,team_id,game_id,game_dt,status_id,player_id,player_name,game_optimized,p_t_poss_48,p_mp_48,p_usg,p_pts_100,p_tspct,p_efg,p_fga_rim_100,p_fga_mid_100,p_fg2a_100,p_fg3a_100,p_fta_100,p_fgpct_rim,p_fgpct_mid,p_fg2pct,p_fg3pct,p_ftpct,p_ast_100,p_tov_100,p_orb_100,p_drb_100,p_stl_100,p_blk_100,oepm,depm,epm
2026,4,1610612747,42500221,2026-05-05,3,2544,LeBron James,0,93.5672,38.0538,0.269966,31.4521,0.587835,0.548139,8.4752,8.88587,17.1953,5.9558,8.18504,0.70069,0.397801,0.56533,0.332337,0.741851,10.9854,4.61533,1.01871,8.49001,1.71841,0.776389,1.65055,0.916453,2.567
2026,2,1610612761,22500781,2026-02-11,3,101108,Chris Paul,0,96.1515,14.5501,0.135147,13.7005,0.53527,0.519555,0.610246,4.96993,5.51479,6.84024,1.00613,0.610335,0.453683,0.484788,0.365057,0.856979,10.3873,2.86665,1.0035,5.3356,2.2773,0.558962,-1.04149,-0.850752,-1.89224
2026,4,1610612755,42500212,2026-05-06,1,200768,Kyle Lowry,0,100.721,3.62295,0.0991193,10.6467,0.560476,0.518035,0.748896,0.877923,1.2642,7.28142,2.16435,0.571225,0.38632,0.479235,0.349848,0.82836,6.14661,1.8703,0.930311,4.35979,1.88037,0.775932,-2.38443,-0.347742,-2.73217
2026,4,1610612745,42500176,2026-05-01,3,201142,Kevin Durant,0,95.5567,37.8052,0.262141,31.5766,0.62454,0.568812,2.4396,12.2979,14.4041,7.3571,7.99697,0.730226,0.520375,0.568283,0.379898,0.852892,6.91367,4.43319,0.826962,6.61,1.09392,1.25909,2.88478,-0.0342274,2.85055
2026,5,1610612744,52500211,2026-04-17,3,201143,Al Horford,0,97.6914,21.6757,0.167917,19.5197,0.562113,0.550554,3.34518,2.97367,6.46971,10.3762,1.17473,0.663839,0.436319,0.557672,0.364077,0.82617,5.42723,1.7697,2.2618,8.3504,1.27484,2.09655,0.250667,0.125258,0.375925
2026,4,1610612750,42500232,2026-05-06,1,201144,Mike Conley,0,97.516,19.8546,0.115307,12.9336,0.554628,0.524094,0.767427,2.52099,2.82113,8.05866,1.77262,0.514293,0.394864,0.415923,0.374642,0.862881,7.70088,1.68964,0.931334,3.85785,1.89156,0.537194,-0.515594,0.0632178,-0.452376
2026,4,1610612745,42500176,2026-05-01,3,201145,Jeff Green,0,100.131,5.45094,0.151167,18.7919,0.555709,0.526352,3.0489,3.08917,5.76654,9.85589,2.9218,0.659182,0.408959,0.572651,0.332842,0.802959,2.28196,1.30971,1.69209,5.14966,0.817382,0.779297,-1.83908,-1.63339,-3.47246
2026,2,1610612758,22501200,2026-04-12,3,201566,Russell Westbrook,0,100.609,28.9856,0.255751,23.8813,0.508262,0.482282,5.22483,6.27863,11.4266,9.95677,4.79486,0.579994,0.392355,0.499384,0.308437,0.678995,10.9645,5.13657,1.85971,6.1029,2.09869,0.359787,-0.973301,-0.499847,-1.47315
2026,2,1610612762,22501198,2026-04-12,3,201567,Kevin Love,0,105.088,15.5114,0.167811,19.2168,0.562,0.525646,3.3418,1.76818,4.75426,10.7804,3.55022,0.541575,0.433731,0.490929,0.360638,0.812707,4.96106,2.38162,3.53208,12.9428,1.17721,0.586636,0.128956,-0.785744,-0.656788
2026,2,1610612755,22500724,2026-02-03,3,201569,Eric Gordon,0,98.8984,15.7578,0.1368,15.6921,0.563912,0.539356,2.87673,1.0887,3.98065,8.96918,2.19031,0.592166,0.353274,0.516313,0.366389,0.786608,3.78138,1.76027,0.606376,2.42318,1.59569,0.801344,-1.67496,-1.01103,-2.68599
2026,5,1610612746,52500131,2026-04-15,3,201572,Brook Lopez,0,95.7399,22.0085,0.169427,20.2291,0.570487,0.550607,4.06294,3.98596,8.11119,8.56917,2.38488,0.701695,0.461843,0.582189,0.347142,0.780119,3.08637,1.74106,1.77379,6.87979,1.14395,2.50512,-0.162681,1.02158,0.858904
2026,5,1610612746,52500131,2026-04-15,3,201587,Nicolas Batum,0,97.8975,18.5052,0.0929538,10.2169,0.552392,0.547113,0.265806,0.49695,0.477304,8.62084,0.340356,0.63165,0.417412,0.517961,0.365818,0.768359,2.72073,1.2754,1.08552,6.32033,1.71049,0.978785,-2.13385,0.19945,-1.9344
2026,2,1610612740,22501195,2026-04-12,3,201599,DeAndre Jordan,0,97.9435,17.3931,0.111471,13.4362,0.631794,0.641756,7.99146,0.789439,8.43685,0.350467,4.19564,0.68968,0.313467,0.653518,0.239072,0.514253,3.222,2.78247,5.75594,13.1536,1.0109,2.03172,-2.2978,-0.49367,-2.79147
2026,4,1610612739,42500201,2026-05-05,3,201935,James Harden,0,98.5931,37.5619,0.252661,26.3233,0.594803,0.51554,3.40234,6.15039,8.98151,9.35216,8.62287,0.585161,0.415291,0.493966,0.357506,0.860478,9.52804,4.91739,0.876682,5.83296,1.74211,0.630348,1.92277,-0.602051,1.32071
2026,5,1610612744,52500211,2026-04-17,3,201939,Stephen Curry,0,101.571,30.3741,0.296314,36.558,0.622009,0.573757,4.67594,5.8236,10.4768,15.8195,7.0243,0.635991,0.470677,0.547357,0.39416,0.908642,7.16666,4.09806,0.635659,4.80032,1.61293,0.553266,5.52902,-0.680819,4.8482
2026,2,1610612758,22501200,2026-04-12,3,201942,DeMar DeRozan,0,96.2319,26.1168,0.237432,30.0526,0.582955,0.51395,3.28548,15.5213,18.9887,2.8671,8.90987,0.652283,0.479743,0.517668,0.32622,0.851535,7.47419,2.27198,0.704774,3.61746,1.41371,0.510264,1.89961,-2.09774,-0.198127
2025,4,1610612754,42400407,2025-06-22,3,201949,James Johnson,0,100.007,2.21918,0.160074,13.5102,0.508459,0.497535,5.74744,3.36924,8.50048,3.79832,2.24249,0.598093,0.348222,0.528076,0.286123,0.567267,4.81282,2.47917,1.70086,6.56868,1.77058,1.67535,-4.10624,-0.254244,-4.36049
2026,4,1610612757,42500155,2026-04-28,3,201950,Jrue Holiday,0,97.5954,37.1773,0.226767,24.9655,0.561531,0.537405,4.27669,6.11606,10.1749,10.739,2.99063,0.626683,0.437748,0.529238,0.363429,0.831584,8.50743,3.88387,2.08625,5.06598,1.60368,0.298721,0.996183,1.70061,2.6968
2026,2,1610612763,22501194,2026-04-12,3,201959,Taj Gibson,0,100.542,9.5848,0.126798,13.4037,0.536064,0.510165,5.99122,3.7452,9.71453,1.73479,2.3924,0.60513,0.401186,0.520536,0.301395,0.719622,2.6881,1.98392,4.73302,7.40844,1.39138,1.73651,-3.63022,-0.219391,-3.84961
2026,4,1610612761,42500137,2026-05-03,3,202066,Garrett Temple,0,101.831,1.83722,0.145513,12.8306,0.500666,0.46858,3.34611,2.14724,5.06443,6.68805,2.41144,0.552279,0.326383,0.443512,0.325042,0.75333,4.76309,1.9526,1.73712,4.42119,1.99051,0.76826,-3.49201,0.811927,-2.68008
2026,4,1610612755,42500212,2026-05-06,1,202331,Paul George,0,95.6542,36.2821,0.218078,23.3791,0.559889,0.524945,3.16781,6.94678,9.90529,9.26416,3.8839,0.616912,0.42505,0.494836,0.371426,0.837636,4.93135,2.8113,0.731421,6.65422,2.38046,0.585153,-0.0214884,1.63197,1.61048
2026,2,1610612742,22501193,2026-04-12,3,202681,Kyrie Irving,0,97.169,30.4187,0.260815,33.2272,0.584937,0.542475,6.38585,9.2994,15.8151,10.052,5.76198,0.591207,0.445849,0.515765,0.389666,0.895993,5.2247,2.84263,1.76457,4.97778,1.75876,0.752494,3.31292,0.383168,3.69609
2026,4,1610612743,42500166,2026-04-30,3,202685,Jonas Valanciunas,0,95.156,9.50062,0.256173,30.5607,0.623086,0.585717,10.6608,8.67614,19.8641,1.82676,6.43822,0.665666,0.494364,0.593888,0.33125,0.800109,4.35994,3.77362,5.97486,13.0818,0.983073,1.77797,1.25844,-1.6678,-0.409362
2026,4,1610612759,42500232,2026-05-06,1,202687,Bismack Biyombo,0,97.3696,0.879389,0.0866397,10.249,0.544639,0.544995,4.9457,3.28032,7.87383,0.428097,2.51596,0.656039,0.381614,0.567292,0.0899308,0.476931,2.23424,2.41247,3.91797,9.48046,1.00297,2.29374,-4.54727,-1.66978,-6.21705
2026,2,1610612742,22501193,2026-04-12,3,202691,Klay Thompson,0,102.967,22.2464,0.217295,25.3851,0.556463,0.544609,1.79054,4.80594,6.50801,15.6464,1.48839,0.630979,0.416783,0.459089,0.386787,0.842578,3.10458,2.01243,0.634377,3.5532,1.0904,0.657186,-0.249609,-0.241982,-0.491591
2026,5,1610612746,52500131,2026-04-15,3,202695,Kawhi Leonard,0,96.6845,32.0865,0.323145,40.8,0.618735,0.56786,6.244,12.4192,18.5674,10.3636,9.18079,0.692275,0.491781,0.562599,0.384858,0.865126,5.43437,3.05262,1.79119,8.06957,2.54292,0.577379,6.25275,1.33654,7.58929
2026,4,1610612738,42500117,2026-05-02,3,202696,Nikola Vucevic,0,97.3032,17.5178,0.200525,22.3175,0.56165,0.544039,5.34251,5.24894,10.5356,8.38203,2.15939,0.635085,0.489136,0.561667,0.347922,0.802821,5.21711,2.16735,3.26917,10.5506,1.10345,1.20637,0.265476,-0.469917,-0.204441
2026,4,1610612765,42500201,2026-05-05,3,202699,Tobias Harris,0,95.1878,35.339,0.198318,27.0723,0.574349,0.53418,5.61595,8.82529,14.6646,6.69878,5.01013,0.631019,0.457395,0.529805,0.362505,0.847997,3.45246,1.64671,1.5315,8.12844,1.57894,0.923611,1.32963,1.02321,2.35284
